var_x,var_y,cov_xy,anisotropy,fft_score,is_fake
0.064392544,0.083476044,2.5663177e-05,0.1290568,98.93703,0
0.06090784,0.099048115,-0.0015860379,0.2392641,113.04439,0
0.044172365,0.032159325,0.00064091134,0.1582708,93.104095,0
0.12141233,0.11617761,-0.0034459445,0.036426075,109.447014,0
0.09994815,0.15152265,0.001191486,0.20530938,102.22688,0
0.08839137,0.069253445,0.0072650975,0.15242317,103.84201,0
0.21409485,0.115162656,-0.011774346,0.30886433,118.758095,0
0.10313471,0.18171732,-0.008605266,0.2824095,108.28765,0
0.012128813,0.0224929,0.0038826673,0.37404558,87.170746,0
0.051332153,0.043232795,-0.0031907596,0.10903845,102.034294,0
0.054582212,0.074652046,0.0015715926,0.1571899,97.47379,0
0.07537164,0.07630581,-0.0039823824,0.052870784,98.59547,0
0.07218018,0.04729708,0.007165477,0.24033572,96.90799,0
0.07140142,0.06164365,-0.0030845476,0.08676952,116.12458,0
0.04085129,0.044644974,0.0073800045,0.17824839,90.41525,0
0.5691881,0.6495943,-0.52151126,0.85832894,139.22656,0
0.021657005,0.01707268,0.0009008195,0.1271767,83.60841,0
0.097634576,0.083046935,0.001167448,0.081764,90.90839,0
0.08467758,0.08752456,-0.0004923128,0.017493576,119.403465,0
0.020353375,0.025279755,0.00017722658,0.10823295,94.970085,0
0.08875186,0.0930059,-0.0049208207,0.05898862,94.753914,0
0.30268446,0.14415616,0.0030407656,0.3550361,124.07083,0
0.041885633,0.04598847,-0.0042655896,0.107726544,98.91221,0
0.19552754,0.21628755,-6.349339e-05,0.050411824,115.16068,0
0.051986374,0.06312103,0.0019976355,0.10277041,97.11142,0
0.07611951,0.0930306,0.0035164843,0.1082773,108.76181,0
0.26280728,0.11090794,-0.033546492,0.44433945,133.20837,0
0.32452327,0.103583336,0.004069282,0.516435,125.26336,0
0.03944851,0.04298595,-0.0005187141,0.044718962,98.72634,0
0.103615925,0.051991813,-0.00048402086,0.3318142,102.002335,0
0.045962688,0.06299105,-0.00063224806,0.15671873,108.457184,0
0.093109295,0.2529536,0.0018239184,0.4620127,134.42438,0
0.1384788,0.19990227,0.0077815605,0.18725707,109.85115,0
0.09953048,0.13613772,0.0058253566,0.16301036,104.097305,0
0.041225374,0.04732258,0.0029653378,0.09605776,111.413155,0
0.20328867,0.3241428,-0.0047073895,0.2298309,115.04236,0
0.087970756,0.084253944,0.0064091743,0.07749334,102.850204,0
0.09522912,0.07162018,0.0015764037,0.14275385,110.12467,0
0.060985357,0.03959023,-0.00017324169,0.21275268,102.97562,0
0.18196978,0.19861318,0.00053294963,0.043820813,114.919785,0
0.14028133,0.10406453,-0.004114834,0.15199727,115.12816,0
0.21381663,0.15566072,-0.009183052,0.16506264,113.16307,0
0.10083254,0.11409883,0.010543056,0.11590727,107.70892,0
0.14525834,0.11027545,0.0043434715,0.14105837,106.13158,0
0.06647485,0.09106006,0.0065627955,0.17690946,108.472275,0
0.021795286,0.040393874,-0.00028687756,0.2992023,88.96544,0
0.25533554,0.26480827,0.008744794,0.0382396,107.72575,0
0.14054728,0.12151142,-0.007377292,0.0919045,113.53707,0
0.04442639,0.09781516,-0.00010630907,0.37533912,114.86724,0
0.09569253,0.05987516,0.014600826,0.29705706,111.00529,0
0.039428007,0.10131805,0.010694354,0.46524388,106.27078,0
0.13360026,0.06316822,-0.0036346002,0.35984325,110.708725,0
0.13895752,0.036737915,0.008329026,0.58947146,121.97193,0
0.13630491,0.102478094,0.0072190845,0.15402736,116.88875,0
0.054626293,0.06390305,-0.006928803,0.14069036,101.819916,0
0.16476962,0.22105674,0.00065560325,0.14592636,104.382996,0
0.03594756,0.055621304,-0.00051036605,0.21513854,109.898674,0
0.19186501,0.12948216,-0.0014048014,0.19432531,125.43716,0
0.082165696,0.07596886,-0.0013820801,0.04290857,103.573135,0
0.08878257,0.051200405,0.0028672297,0.27158216,98.99385,0
0.0859761,0.08684629,0.012644466,0.14641476,96.68328,0
0.063208744,0.101487786,0.004441804,0.23859714,111.75784,0
0.2136248,0.21446699,0.027924618,0.13047539,116.920425,0
0.10389389,0.08023594,-0.01749204,0.22936136,114.46151,0
0.09185992,0.06328376,-0.0024757637,0.18693507,99.62253,0
0.048988324,0.13084681,-0.0032445162,0.45661175,119.57997,0
0.23221946,0.41471583,0.007644509,0.28308147,130.27213,0
0.12603274,0.10350095,0.0020830892,0.09982682,122.47162,0
0.3109198,0.15678257,0.043803815,0.3790749,123.204124,0
0.12324836,0.07670974,0.0009740788,0.23294452,113.7313,0
0.5338343,0.16949145,0.047031946,0.53501356,112.08925,0
0.04147166,0.052811336,0.003588441,0.14233573,101.60855,0
0.15687522,0.24861696,0.0036526222,0.22696345,119.47958,0
0.14936554,0.0840815,0.012063081,0.29813662,116.29192,0
0.034694493,0.035656337,-0.0038459897,0.11018742,104.43734,0
